0.000	0.000
0.010	0.004
0.020	0.008
0.030	0.012
0.040	0.015
0.050	0.019
0.060	0.023
0.070	0.026
0.080	0.029
0.090	0.033
0.100	0.036
0.110	0.039
0.120	0.042
0.130	0.045
0.140	0.048
0.150	0.051
0.160	0.054
0.170	0.056
0.180	0.059
0.190	0.062
0.200	0.064
0.210	0.066
0.220	0.069
0.230	0.071
0.240	0.073
0.250	0.075
0.260	0.077
0.270	0.079
0.280	0.081
0.290	0.082
0.300	0.084
0.310	0.086
0.320	0.087
0.330	0.088
0.340	0.090
0.350	0.091
0.360	0.092
0.370	0.093
0.380	0.094
0.390	0.095
0.400	0.096
0.410	0.097
0.420	0.097
0.430	0.098
0.440	0.099
0.450	0.099
0.460	0.099
0.470	0.100
0.480	0.100
0.490	0.100
0.500	0.100
0.510	0.100
0.520	0.100
0.530	0.100
0.540	0.099
0.550	0.099
0.560	0.099
0.570	0.098
0.580	0.097
0.590	0.097
0.600	0.096
0.610	0.095
0.620	0.094
0.630	0.093
0.640	0.092
0.650	0.091
0.660	0.090
0.670	0.088
0.680	0.087
0.690	0.086
0.700	0.084
0.710	0.082
0.720	0.081
0.730	0.079
0.740	0.077
0.750	0.075
0.760	0.073
0.770	0.071
0.780	0.069
0.790	0.066
0.800	0.064
0.810	0.062
0.820	0.059
0.830	0.056
0.840	0.054
0.850	0.051
0.860	0.048
0.870	0.045
0.880	0.042
0.890	0.039
0.900	0.036
0.910	0.033
0.920	0.029
0.930	0.026
0.940	0.023
0.950	0.019
0.960	0.015
0.970	0.012
0.980	0.008
0.990	0.004
1.000	0.000
