0.000	0.000
0.020	0.008
0.040	0.015
0.060	0.023
0.080	0.029
0.100	0.036
0.120	0.042
0.140	0.048
0.160	0.054
0.180	0.059
0.200	0.064
0.220	0.069
0.240	0.073
0.260	0.077
0.280	0.081
0.300	0.084
0.320	0.087
0.340	0.090
0.360	0.092
0.380	0.094
0.400	0.096
0.420	0.097
0.440	0.099
0.460	0.099
0.480	0.100
0.500	0.100
0.520	0.100
0.540	0.099
0.560	0.099
0.580	0.097
0.600	0.096
0.620	0.094
0.640	0.092
0.660	0.090
0.680	0.087
0.700	0.084
0.720	0.081
0.740	0.077
0.760	0.073
0.780	0.069
0.800	0.064
0.820	0.059
0.840	0.054
0.860	0.048
0.880	0.042
0.900	0.036
0.920	0.029
0.940	0.023
0.960	0.015
0.980	0.008
1.000	0.000
